1,simple-north-island-brown-kiwi,"Simple detector for north-island brown kiwi, based on energy between 1600 and 2200 Hz",0.1.2
2,energy-above-200,"Energy of the minimum spectrogram, above 200 Hz",0.1
3,energy-below-1000,"Energy of the minimum spectrogram, below 1 kHz",0.1
4,amplitude,Peak amplitude,0.1
